order_id,customer_id,order_date,product,quantity,price,status,payment,total_sales,Month Name
384806,3076,29-Aug-23,Printer,1,49.48,Pending,Cash,49.48,August
539792,2781,2-Jan-23,Printer,1,49.48,Pending,Cash,49.48,January
465890,8642,5-Oct-23,Printer,1,49.48,Pending,Cash,49.48,October
695468,9795,23-Feb-23,Printer,1,49.48,Pending,Cash,49.48,February
323777,2667,28-Aug-23,Printer,1,49.48,Pending,Cash,49.48,August
310176,9736,17-Dec-23,Printer,1,49.48,Pending,Cash,49.48,December
728880,5945,12-Apr-23,Printer,1,49.48,Pending,Cash,49.48,April
820670,1780,24-Jan-23,Printer,1,49.48,Pending,Cash,49.48,January
368294,4118,7-May-23,Printer,1,49.48,Pending,Cash,49.48,May
752665,1256,23-Oct-23,Printer,1,49.48,Pending,Cash,49.48,October
776787,9733,11-Dec-23,Printer,1,49.48,Pending,Cash,49.48,December
151195,6782,12-Jul-23,Printer,1,49.48,Pending,Cash,49.48,July
902514,5261,3-Jun-23,Printer,1,49.48,Pending,Cash,49.48,June
505804,2883,10-Feb-23,Printer,1,49.48,Pending,Cash,49.48,February
516715,2689,18-Dec-23,Printer,1,49.48,Pending,Cash,49.48,December
312781,7347,23-Apr-23,Printer,1,49.48,Pending,Cash,49.48,April
561792,7680,9-Jul-23,Printer,1,49.48,Pending,Cash,49.48,July
601643,1574,21-Jun-23,Printer,1,49.48,Pending,Cash,49.48,June
315400,5952,25-Oct-23,Printer,1,49.48,Pending,Cash,49.48,October
714661,3845,29-Oct-23,Printer,1,49.48,Pending,Cash,49.48,October
575584,2811,13-Mar-23,Printer,1,49.48,Pending,Cash,49.48,March
411955,8614,1-Jul-23,Printer,1,49.48,Pending,Cash,49.48,July
846084,6445,13-May-23,Printer,1,49.48,Pending,Cash,49.48,May
632726,7060,7-Sep-23,Printer,1,49.48,Pending,Cash,49.48,September
514994,8803,26-Apr-23,Printer,1,49.48,Pending,Cash,49.48,April
853704,2646,11-Oct-23,Printer,1,49.48,Pending,Cash,49.48,October
385521,9495,4-Jun-23,Printer,1,49.48,Pending,Cash,49.48,June
220234,4136,15-Jun-23,Printer,1,49.48,Pending,Cash,49.48,June
154189,4905,21-Dec-23,Printer,1,49.48,Pending,Cash,49.48,December
609492,4212,19-May-23,Printer,1,49.48,Pending,Cash,49.48,May
214397,2508,17-Mar-23,Printer,1,49.48,Pending,Cash,49.48,March
792137,5459,8-May-23,Printer,1,49.48,Pending,Cash,49.48,May
982174,3525,7-Mar-23,Printer,1,49.48,Pending,Cash,49.48,March
317060,6378,3-Jun-23,Printer,1,49.48,Pending,Cash,49.48,June
103849,7558,1-Jun-23,Printer,1,49.48,Pending,Cash,49.48,June
461719,2766,4-May-23,Printer,1,49.48,Pending,Cash,49.48,May
979140,9167,3-May-23,Printer,1,49.48,Pending,Cash,49.48,May
622710,7917,15-Nov-23,Printer,1,49.48,Pending,Cash,49.48,November
472251,9472,1-Mar-23,Printer,1,49.48,Pending,Cash,49.48,March
851731,4030,2-May-23,Printer,1,49.48,Pending,Cash,49.48,May
585097,4596,2-Jul-23,Printer,1,49.48,Pending,Cash,49.48,July
725210,9045,12-Jul-23,Printer,1,49.48,Pending,Cash,49.48,July
930948,4830,22-Nov-23,Printer,1,49.48,Pending,Cash,49.48,November
272257,8443,28-Feb-23,Printer,1,49.48,Pending,Cash,49.48,February
542136,9122,22-Nov-23,Printer,1,49.48,Pending,Cash,49.48,November
251426,8662,4-Nov-23,Printer,1,49.48,Pending,Cash,49.48,November
793023,3804,26-Dec-23,Printer,1,49.48,Pending,Cash,49.48,December
859401,9291,17-Nov-23,Printer,1,49.48,Pending,Cash,49.48,November
